model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538461,"[[1, 8], [0, 9]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.4461538461538461,"[[1, 8], [0, 9]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",0.15
svc_rbf,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",
svc_rbf,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,"[[0, 9], [0, 9]]","[0, 1]",0.2
extra_trees_kbest,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.41558441558441556,"[[2, 7], [3, 6]]","[0, 1]",
logistic_l2,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.375,"[[1, 8], [2, 7]]","[0, 1]",
rf_deeper,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.3076923076923077,"[[8, 1], [9, 0]]","[0, 1]",
extra_trees,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.3888888888888889,0.3888888888888889,0.37142857142857144,"[[2, 7], [4, 5]]","[0, 1]",
hist_gradient,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[3, 6], [6, 3]]","[0, 1]",
rf_balanced,default,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.3333333333333333,0.3333333333333333,0.325,"[[4, 5], [7, 2]]","[0, 1]",
hist_gradient,threshold_cv,exports/geom_s2_2025_buffer30_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S2,373,18,"{0: 319, 1: 54}","{0: 9, 1: 9}",0.3333333333333333,0.3333333333333333,0.325,"[[2, 7], [5, 4]]","[0, 1]",0.2
