model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.8,0.6142857142857143,0.5480112494977903,"[[58, 12], [3, 2]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.7866666666666666,0.6071428571428572,0.5384615384615384,"[[57, 13], [3, 2]]","[0, 1]",0.4
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.1
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.92,0.4928571428571429,0.47916666666666663,"[[69, 1], [5, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.8933333333333333,0.4785714285714286,0.471830985915493,"[[67, 3], [5, 0]]","[0, 1]",0.15
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.88,0.4714285714285714,0.46808510638297873,"[[66, 4], [5, 0]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.7733333333333333,0.4142857142857143,0.4360902255639098,"[[58, 12], [5, 0]]","[0, 1]",0.15
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 258, 1: 22}","{0: 70, 1: 5}",0.76,0.40714285714285714,0.4318181818181818,"[[57, 13], [5, 0]]","[0, 1]",0.1
