model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.5833333333333334,0.625,0.5804195804195804,"[[12, 12], [3, 9]]","[0, 1]",0.1
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5833333333333334,0.5846153846153845,"[[20, 4], [8, 4]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6944444444444444,0.5625,0.536842105263158,"[[23, 1], [10, 2]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6388888888888888,0.5208333333333334,0.49946524064171116,"[[21, 3], [10, 2]]","[0, 1]",0.15
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6388888888888888,0.5208333333333334,0.49946524064171116,"[[21, 3], [10, 2]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6388888888888888,0.5208333333333334,0.49946524064171116,"[[21, 3], [10, 2]]","[0, 1]",0.45
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6388888888888888,0.5,0.4526315789473684,"[[22, 2], [11, 1]]","[0, 1]",0.2
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6666666666666666,0.5,0.4,"[[24, 0], [12, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A1,319,36,"{0: 287, 1: 32}","{0: 24, 1: 12}",0.6111111111111112,0.4583333333333333,0.3793103448275862,"[[22, 2], [12, 0]]","[0, 1]",0.1
