model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",0.25
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",0.25
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9333333333333333,0.5,0.4827586206896552,"[[28, 0], [2, 0]]","[0, 1]",0.6
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9,0.48214285714285715,0.4736842105263158,"[[27, 1], [2, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9,0.48214285714285715,0.4736842105263158,"[[27, 1], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.9,0.48214285714285715,0.4736842105263158,"[[27, 1], [2, 0]]","[0, 1]",0.3
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.8333333333333334,0.44642857142857145,0.45454545454545453,"[[25, 3], [2, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.8,0.42857142857142855,0.4444444444444445,"[[24, 4], [2, 0]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.8,0.42857142857142855,0.4444444444444445,"[[24, 4], [2, 0]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_red_showy,leave_area_out,A2,325,30,"{0: 315, 1: 10}","{0: 28, 1: 2}",0.7,0.375,0.41176470588235287,"[[21, 7], [2, 0]]","[0, 1]",0.1
