model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.5,0.5625,0.4269005847953216,"[[1, 7], [0, 6]]","[0, 1]",0.35
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.5,0.5625,0.4269005847953216,"[[1, 7], [0, 6]]","[0, 1]",0.25
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",0.3
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",0.35
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",0.25
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.5,0.3,"[[0, 8], [0, 6]]","[0, 1]",0.25
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.4791666666666667,0.37777777777777777,"[[1, 7], [1, 5]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.4791666666666667,0.37777777777777777,"[[1, 7], [1, 5]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.4791666666666667,0.37777777777777777,"[[1, 7], [1, 5]]","[0, 1]",0.8
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.4791666666666667,0.37777777777777777,"[[1, 7], [1, 5]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.42857142857142855,0.4791666666666667,0.37777777777777777,"[[1, 7], [1, 5]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_broad,leave_area_out,SV_S2,341,14,"{0: 247, 1: 94}","{0: 8, 1: 6}",0.35714285714285715,0.3958333333333333,0.32620320855614976,"[[1, 7], [2, 4]]","[0, 1]",
