model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.7272727272727273,0.7166666666666667,0.7179487179487178,"[[5, 1], [2, 3]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.7272727272727273,0.7,0.6857142857142857,"[[6, 0], [3, 2]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.6363636363636364,0.6333333333333333,0.6333333333333333,"[[4, 2], [2, 3]]","[0, 1]",0.1
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[5, 1], [3, 2]]","[0, 1]",0.15
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5833333333333334,0.47619047619047616,"[[1, 5], [0, 5]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5833333333333334,0.47619047619047616,"[[1, 5], [0, 5]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.55,0.5454545454545454,"[[3, 3], [2, 3]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.3
