model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.15
rf_deeper,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.15
extra_trees,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.15
extra_trees_kbest,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.1
logistic_l2,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.1
svc_rbf,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.1
hist_gradient,default,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp_gee_dino.csv,label_yellow_strict,leave_area_out,SV_S1,324,31,"{0: 294, 1: 30}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.1
